sku_id,category,subcategory,launch_date,unit_cost,list_price
SKU0001,Furniture,Sofas,2023-03-27,58.68,183.15
SKU0002,Furniture,Sofas,2023-10-31,110.87,283.59
SKU0003,Decor,Wall Art,2021-11-29,26.78,49.53
SKU0004,Bedding,Comforters,2022-04-08,12.48,37.26
SKU0005,Furniture,Chairs,2022-12-19,91.76,250.77
SKU0006,Décor,Lighting,2025-01-24,7.01,22.09
SKU0007,Bedding,Comforters,2021-11-15,125.54,243.52
SKU0008,Furniture,Storage,2024-10-27,30.55,57.84
SKU0009,Bedding,Comforters,2021-12-11,48.42,118.13
SKU0010,Kitchen,Cookware,2023-08-21,67.06,138.54
SKU0011,Bath,Bath Accessories,2022-12-04,93.33,170.16
SKU0012,Kitchen,Dinnerware,2022-02-07,46.65,101.99
SKU0013,Bedding,Pillows,2022-08-16,70.59,201.62
SKU0014,Bedding,Sheets,2021-07-22,33.15,80.31
SKU0015,Furniture,Chairs,2021-08-30,90.49,151.51
SKU0016,Kitchen,Cookware,2022-05-01,92.7,173.61
SKU0017,Kitchen,Cookware,2022-10-23,13.5,42.1
SKU0018,Bath,Towels,2023-03-25,144.98,419.49
SKU0019,Bedding,Comforters,2022-09-20,48.47,85.13
SKU0020,Bath,Bath Accessories,2023-07-14,103.9,239.41
SKU0021,Furniture,Sofas,2023-06-29,21.82,52.2
SKU0022,Bath,Towels,2022-04-01,9.02,27.56
SKU0023,Bedding,Comforters,2023-11-21,41.78,111.14
SKU0024,furniture,Tables,2022-12-19,49.51,120.41
SKU0025,Decor,Vases,2024-09-26,83.82,158.9
SKU0026,Decor,Wall Art,2023-01-31,145.56,413.42
SKU0027,Bedding,Pillows,2022-11-15,141.17,427.99
SKU0028,Bedding,Pillows,2022-03-29,91.29,280.72
SKU0029,Furniture,Sofas,2021-08-03,16.92,32.38
SKU0030,Decor,,2022-05-01,10.6,22.48
SKU0031,Furniture,Storage,2021-10-15,60.75,123.58
